127.0.0.1 - - [31/Mar/2023:12:59:02 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [31/Mar/2023:12:59:16 +0530] "GET /Online-Retail-Web-app/ HTTP/1.1" 200 10598
0:0:0:0:0:0:0:1 - - [31/Mar/2023:12:59:16 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [31/Mar/2023:12:59:21 +0530] "GET /Online-Retail-Web-app/wishlist HTTP/1.1" 200 1484
0:0:0:0:0:0:0:1 - - [31/Mar/2023:12:59:47 +0530] "GET /Online-Retail-Web-app/wishlist HTTP/1.1" 200 3593
0:0:0:0:0:0:0:1 - - [31/Mar/2023:13:00:30 +0530] "GET /Online-Retail-Web-app/wishlist HTTP/1.1" 200 3605
0:0:0:0:0:0:0:1 - - [31/Mar/2023:13:01:56 +0530] "GET /Online-Retail-Web-app/wishlist HTTP/1.1" 200 3649
0:0:0:0:0:0:0:1 - - [31/Mar/2023:13:02:18 +0530] "GET /Online-Retail-Web-app/wishlist HTTP/1.1" 200 3661
0:0:0:0:0:0:0:1 - - [31/Mar/2023:13:02:27 +0530] "GET /Online-Retail-Web-app/wishlist HTTP/1.1" 200 3661
0:0:0:0:0:0:0:1 - - [31/Mar/2023:13:02:33 +0530] "GET /Online-Retail-Web-app/wishlist HTTP/1.1" 200 3661
0:0:0:0:0:0:0:1 - - [31/Mar/2023:13:05:09 +0530] "GET /Online-Retail-Web-app/wishlist HTTP/1.1" 200 3844
0:0:0:0:0:0:0:1 - - [31/Mar/2023:13:05:58 +0530] "GET /Online-Retail-Web-app/wishlist HTTP/1.1" 200 3847
0:0:0:0:0:0:0:1 - - [31/Mar/2023:13:06:28 +0530] "GET /Online-Retail-Web-app/wishlist HTTP/1.1" 200 3868
0:0:0:0:0:0:0:1 - - [31/Mar/2023:13:07:17 +0530] "GET /Online-Retail-Web-app/wishlist HTTP/1.1" 200 3869
0:0:0:0:0:0:0:1 - - [31/Mar/2023:13:08:17 +0530] "GET /Online-Retail-Web-app/wishlist HTTP/1.1" 200 3852
0:0:0:0:0:0:0:1 - - [31/Mar/2023:13:08:23 +0530] "GET /Online-Retail-Web-app/wishlist HTTP/1.1" 200 3858
0:0:0:0:0:0:0:1 - - [31/Mar/2023:13:08:47 +0530] "GET /Online-Retail-Web-app/wishlist HTTP/1.1" 200 3860
0:0:0:0:0:0:0:1 - - [31/Mar/2023:13:09:48 +0530] "GET /Online-Retail-Web-app/wishlist HTTP/1.1" 200 3877
0:0:0:0:0:0:0:1 - - [31/Mar/2023:13:10:03 +0530] "GET /Online-Retail-Web-app/wishlist HTTP/1.1" 200 3893
0:0:0:0:0:0:0:1 - - [31/Mar/2023:13:10:13 +0530] "GET /Online-Retail-Web-app/wishlist HTTP/1.1" 200 3891
0:0:0:0:0:0:0:1 - - [31/Mar/2023:13:10:19 +0530] "GET /Online-Retail-Web-app/wishlist HTTP/1.1" 200 3891
0:0:0:0:0:0:0:1 - - [31/Mar/2023:13:10:49 +0530] "GET /Online-Retail-Web-app/ HTTP/1.1" 200 10598
