127.0.0.1 - - [12/Apr/2023:08:58:10 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [12/Apr/2023:08:58:19 +0530] "GET /Online-Retail-Web-app/ HTTP/1.1" 200 10758
0:0:0:0:0:0:0:1 - - [12/Apr/2023:09:00:30 +0530] "GET /Online-Retail-Web-app/ HTTP/1.1" 200 10758
0:0:0:0:0:0:0:1 - - [12/Apr/2023:09:00:39 +0530] "GET /Online-Retail-Web-app/payment HTTP/1.1" 200 3526
0:0:0:0:0:0:0:1 - - [12/Apr/2023:09:01:08 +0530] "GET /Online-Retail-Web-app/payment HTTP/1.1" 200 3542
0:0:0:0:0:0:0:1 - - [12/Apr/2023:09:03:31 +0530] "GET /Online-Retail-Web-app/payment HTTP/1.1" 200 5509
0:0:0:0:0:0:0:1 - - [12/Apr/2023:09:04:19 +0530] "GET /Online-Retail-Web-app/payment HTTP/1.1" 200 5504
0:0:0:0:0:0:0:1 - - [12/Apr/2023:09:04:45 +0530] "GET /Online-Retail-Web-app/payment HTTP/1.1" 200 5546
0:0:0:0:0:0:0:1 - - [12/Apr/2023:09:05:18 +0530] "GET /Online-Retail-Web-app/payment HTTP/1.1" 200 5640
0:0:0:0:0:0:0:1 - - [12/Apr/2023:09:05:31 +0530] "GET /Online-Retail-Web-app/payment HTTP/1.1" 200 5645
0:0:0:0:0:0:0:1 - - [12/Apr/2023:09:06:20 +0530] "GET /Online-Retail-Web-app/payment HTTP/1.1" 200 5654
0:0:0:0:0:0:0:1 - - [12/Apr/2023:09:06:45 +0530] "GET /Online-Retail-Web-app/payment HTTP/1.1" 200 5665
0:0:0:0:0:0:0:1 - - [12/Apr/2023:09:06:54 +0530] "GET /Online-Retail-Web-app/payment HTTP/1.1" 200 5665
0:0:0:0:0:0:0:1 - - [12/Apr/2023:09:07:04 +0530] "GET /Online-Retail-Web-app/payment HTTP/1.1" 200 5675
0:0:0:0:0:0:0:1 - - [12/Apr/2023:09:07:42 +0530] "GET /Online-Retail-Web-app/payment HTTP/1.1" 200 5685
0:0:0:0:0:0:0:1 - - [12/Apr/2023:09:07:46 +0530] "GET /Online-Retail-Web-app/payment HTTP/1.1" 200 5685
0:0:0:0:0:0:0:1 - - [12/Apr/2023:09:08:02 +0530] "GET /Online-Retail-Web-app/payment HTTP/1.1" 200 5707
0:0:0:0:0:0:0:1 - - [12/Apr/2023:09:08:21 +0530] "GET /Online-Retail-Web-app/payment HTTP/1.1" 200 5646
0:0:0:0:0:0:0:1 - - [12/Apr/2023:09:08:54 +0530] "GET /Online-Retail-Web-app/payment HTTP/1.1" 200 5619
0:0:0:0:0:0:0:1 - - [12/Apr/2023:09:09:11 +0530] "GET /Online-Retail-Web-app/payment HTTP/1.1" 200 5176
0:0:0:0:0:0:0:1 - - [12/Apr/2023:09:09:46 +0530] "GET /Online-Retail-Web-app/payment HTTP/1.1" 200 5357
0:0:0:0:0:0:0:1 - - [12/Apr/2023:09:09:55 +0530] "GET /Online-Retail-Web-app/payment HTTP/1.1" 200 5114
0:0:0:0:0:0:0:1 - - [12/Apr/2023:09:10:17 +0530] "GET /Online-Retail-Web-app/payment HTTP/1.1" 200 5114
0:0:0:0:0:0:0:1 - - [12/Apr/2023:09:12:07 +0530] "GET /Online-Retail-Web-app/payment HTTP/1.1" 200 5475
0:0:0:0:0:0:0:1 - - [12/Apr/2023:09:13:21 +0530] "GET /Online-Retail-Web-app/payment HTTP/1.1" 200 5428
0:0:0:0:0:0:0:1 - - [12/Apr/2023:09:13:34 +0530] "GET /Online-Retail-Web-app/payment HTTP/1.1" 200 5475
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:04:44 +0530] "GET /Online-Retail-Web-app/payment HTTP/1.1" 200 5682
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:05:14 +0530] "GET /Online-Retail-Web-app/payment HTTP/1.1" 200 5678
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:06:06 +0530] "GET /Online-Retail-Web-app/payment HTTP/1.1" 200 5674
